ID,Title,Overview,Review,url,Experience Type,Location(City),profileusername,RDF Triples Annotation,,
D32,"Biking, Kayaking and Hiking Activity in Antigua","Explore Antigua by bike, kayak, and on foot during this outdoor adventure from St. John’s. This small-group tour is limited to 10 travelers and covers some of the most beautiful parts of the island. Pedal through village streets, kayak over the azure waters, and take in the scenery during your hike which ends at a historic fort.",Giles and Mark were steller operators and made sure everyone in our group of 8 had a blast. My favorite part was hanging at the beach after the bike ride and just relaxing in the ocean. I will definitely to anyone visiting St John's for the day,https://www.tripadvisor.com/AttractionProductReview-g147242-d15681961-Biking_Kayaking_and_Hiking_Activity_in_Antigua-Antigua_Antigua_and_Barbuda.html,,,,,,
D33,Turtle Beach Power Snorkeling Adventure,"At the push of a button you can propel your way to the Pillars of Hercules, a natural rock formation not far from Galleon Beach. This guided snorkeling adventure via powered sea scooter takes off from shore—it’s an easy way to admire an array of marine life around English Harbour at Freeman’s Bay. Search for sea turtles, conch, rays, sea cucumbers, and tropical fish among the corals and shipwrecks.","If you are thinking of doing this... DO IT! It is an amazing experience. The snorkeling was great, but Damon and his team create a once in a life-time trip. We managed to see 5 turtles, a couple of stingrays and loads of colourful fish. The shipwreck is great too.  If COVID… Me and my dad did this excursion and we fully enjoyed it! We saw loads of turtles and stingrays as well as a ship wreck and colourful fish. Damon and his partner (so sorry I forgot his name) were so friendly and professional. The pick up from our hotel was organised and easy. On…",https://www.tripadvisor.com/AttractionProductReview-g147243-d14105530-Turtle_Beach_Power_Snorkeling_Adventure-St_John_s_Saint_John_Parish_Antigua_Antigu.html,,,,,,
D34,Antigua Roundtrip Airport Transfer,,"Second trip to Antigua and used Alexander Parish for airport shuttle once again. Very friendly staff working at the airport who located my details and confirmed my transfer. The bus driver was friendly and knowledgeable when asked questions about Antigua, this made the journey…",https://www.tripadvisor.com/AttractionProductReview-g147242-d12463213-Antigua_Roundtrip_Airport_Transfer-Antigua_Antigua_and_Barbuda.html,,,,,,
D35,Antigua VIP Tours - Private Gold Tour,"This private tour of Antigua’s highlights and hidden gems allows you to fully customize the day's itinerary according to your interests. In addition to navigating while you take in the scenery, your guide offers anecdotes about the island’s top landmarks, from Nelson’s Dockyard to Devil’s Bridge. The tour includes round-trip transport, an open bar and all necessary admission tickets.","We had a party of 6 and had Antigua VIP tours pick us up and bring us back to the airport and thoroughly enjoyed our private island tour. We were picked up at the agreed time from our resort then treated to a wonderful day of sightseeing and adventure by our tour guide Sean. He… Thank you Lynn for making is your choice and taking time to leave us a review. We are always happy when our clients share their experience.  We hope that you and your family are staying safe in these difficult times. It was indeed our pleasure to be of service to you and your group and we surely enjoyed having you with us. We are happy you've enjoyed your time. We hope the memories you've created will remain with you for a long time but do hope that there will be a return visit soon, that would offer the opportunity to create new memories. With much love. Chose this for our first day and couldn’t be happier. Kenny knows just about everything about Antigua and is glad to share it with you. We got a real taste of what the island had to offer. The roads here are tiny and can be a bit scary, but he was masterful at his job. Would…",https://www.tripadvisor.com/AttractionProductReview-g147243-d14037961-Antigua_VIP_Tours_Private_Gold_Tour-St_John_s_Saint_John_Parish_Antigua_Antigua_an.html,,,,,,
D36,Scenic Tour of Antigua,"Your knowledgeable tour guide entertains and enlightens you on Antigua’s past and present. This extensive sightseeing tour visits the following sites: Devil’s Bridge, Betty’s Hope, Blockhouse, Shirley Heights, Nelson Dockyard, Fig Tree Drive, West Coast for lunch and beach relaxing, and much more!
 

 Itinerary:
 We pick you up at the cruise terminal or your hotel’s reception!
 

 Devil’s Bridge
 Betty’s Hope
 Blockhouse
 Shirley Heights
 Nelson Dockyard
 Fig Tree Drive
 Caribbean Sea on the West Coast",A friend gave us George’s contact and we asked him to arrange tours for us. We told him we wanted to do the stingray city and devils bridge. Those places were amazing and he also took us on a private tour around the island as well as a lunch stop at one of Antigua’s best…,https://www.tripadvisor.com/AttractionProductReview-g147242-d20385275-Scenic_Tour_of_Antigua-Antigua_Antigua_and_Barbuda.html,,,,,,
D37,Runaway Beach Day in Antigua,"Spend a relaxing day of swimming and fun in the sun on one of Antigua’s top beaches, Runaway Beach during this 4-hour beach day excursion. Whether you want to get active with some snorkeling, swimming or kayaking in the calm, crystal-clear waters, or simply want to plant yourself in a beach chair and relax, you’re sure to find your slice of paradise. Your beach excursion also includes a welcome beverage and round-trip shared transfer from St. John’s.","Redcliffe St, St John's, Antigua and BarbudaThe tour starts outside Exotic Boutique, a clothing store located in Redcliffe Quay. You will be met by a Guide with a handsign with your name on it.See address Redcliffe St, St John's, Antigua and BarbudaThe tour starts outside Exotic Boutique, a clothing store located in Redcliffe Quay. You will be met by a Guide with a handsign with your name on it.See address",https://www.tripadvisor.com/AttractionProductReview-g147242-d12463739-Runaway_Beach_Day_in_Antigua-Antigua_Antigua_and_Barbuda.html,,,,,,
D38,Nicole's Table - All about Jerk,"Though originally Jamaican, jerk seasoning is a staple on most Caribbean islands. Learn about the history and techniques behind jerk meat recipes at Nicole’s Table, a short drive from St. John's. In addition to a cooking lesson, Nicole offers secret tips and recipes for you to try at home. Afterwards, sit down for lunch that consists of cocktails, appetizers, jerk meat, and dessert.","It was excellent my wife and I arrived early. We were greeted by Nicole and her husband. Great people very friendly and open they seated us out on the balcony with refreshments while waiting for the other students. One group was from Sweden traveling the Caribbean by sail boat… This was a nice review to wake up to today Jay! Thank you. Your observation that ""food and cooking is something that brings people together"" is a big reason why we do our Caribbean cooking classes here in Antigua. We find that each day starts with a bunch of strangers, but ends with friends. Politics, religion, and any other things that might drive us apart become irrelevant and people just enjoy prepping, cooking and breaking bread together. Please feel free to contact us at any time if you have questions about the recipes, or any other recipe for that matter. We love hearing from our guests. You can find us on our NicolesTable.com website or on Facebook if you look up the same URL name. We hope the rest of your vacation went well for you and your family and hope even more to see all of you again, Nicole and Adam A short taxi ride up a long hill brings you to Nicole's home where you are welcomed, served beverages and shown to the front porch where you are surrounded by flowers and views of the ocean below! You have to leave the porch so you can start preparing dinner, Nicole is… Thank you for the great review and recommendation Scott. We get a lot of cruisers passing through so noting that we structure the class so people can make it back to the ship is a much appreciated extra in the review. We hope you give the recipes a try back home. If you have a question, please don't hesitate to contact us here or via our NicolesTable.com website. All the best until we see you again! Nicole and Adam",https://www.tripadvisor.com/AttractionProductReview-g147242-d13203027-Nicole_s_Table_All_about_Jerk-Antigua_Antigua_and_Barbuda.html,,,,,,
D39,Anguilla and Prickly Pear Cays day trip,"Boomerang is a one of a kind, custom built, power catamaran! She was built in St. Maarten, specifically for the waters of St. Maarten, to do exactly what she does best........Take her guests from bay to bay with speed, with comfort, and to have the best time possible! The bar never closes during your trip, and the drinks menu has something for everyone! Since she is a catamaran, she is stable enough to walk around while underway. We have a clean restroom onboard. No need to wait till the next stop.","34 Simpson Bay Road, Simpson Bay, Sint MaartenFor our Anguilla trip we pick up at the police/immigration dock in Simpson Bay.
 See address What a day!!! The boat is beautiful and can get you from point a to point b really quickly which allowed us to have more stops and see more of the island. Stefan and Justin were so fun and attentive to everyone's needs. It was one of the best days we have had while on vacation.…",https://www.tripadvisor.com/AttractionProductReview-g147346-d19440583-Anguilla_and_Prickly_Pear_Cays_day_trip-St_Martin_St_Maarten.html,,,,,,
D40,Adventure Antigua - The Extreme Circumnavigation,"The Xtreme Circumnav is a full day powerboat tour that goes right around Antigua - make sure you count our 365 beaches! After passing the North Sound area, the first stop is Stingray City Marine Park where you will spend 45m-1hr in the water with these incredible rays & other marine life. We continue to Green Island, for lunch on the beach. 
 We then head south to the historic Nelson's Dockyard (we don’t get off the boat) where the Captain points out all the colonial structures & gives a short talk. The 2nd snorkeling session is at the Pillars of Hercules, a fantastic spot where the limestone boulders enter the water at the mouth of Nelson’s Dockyard, base of the Shirley Heights cliff. The last stop is at the magnificent Rendezvous Bay, a secluded beach on the south side of the island, where you can swim, snorkel or beach comb & enjoy our homemade delicious rum punch",,https://www.tripadvisor.com/AttractionProductReview-g147242-d17681985-Adventure_Antigua_The_Extreme_Circumnavigation-Antigua_Antigua_and_Barbuda.html,,,,,,
D41,Creole Antigua Tours Snorkel- Lobsterlunchcruise to Bird and Maiden Island,"This small-group boat tour to secluded islands takes you far from Jolly Harbor, to secluded islands nearby making it a popular choice for visitors to Antigua. Visit Maiden Island, snorkel on a coral reef and enjoy a freshly prepared beachside lobster lunch including grilled lobster (seasonal). Walk with your guide to a viewpoint at the top of Bird Island, and unwind on the beach with a rum punch or another drink. Hotel pickup is included on this 6-hour tour.","This tour is amazing! The crew members are all incredible and truly go above and beyond to ensure you have a fantastic time. My fiancé and I throughly enjoyed the rum punch, the food was outstanding and cooked to perfection and the side dishes were also just as delicious. They… Awesome experience! The staff was friendly and helpful. I have a bum knee and was aprenhensive about taking the short hike to the top of the mountain. Staff promised me it was worth the hike and to help me. He held both my hands all the way up and back down the mountain, without…",https://www.tripadvisor.com/AttractionProductReview-g1184696-d13732787-Creole_Antigua_Tours_Snorkel_Lobsterlunchcruise_to_Bird_and_Maiden_Island-Bolans_.html,,,,,,
D42,GaySail: Gay Sailing Cruise Saint Martin - Saint Barth - Anguilla,"Saint Martin is located about 250 km north from Continental Guadeloupe and belongs to the Northern Archipelago. It is the smallest landmass in the world shared by two independent countries. Because of its French and Dutch sides, an interesting dual culture exists on St. Martin. Sophistication and a relaxed, easygoing style are woven into the fabric of daily life on the island. Caribbean and European food, culture, and cuisine come together on St. Martin like no other place in the island chain. With world class restaurants, casual beach bars, legendary and (sometimes infamous) beaches, live music, and a fascinating colonial history, the island gives you a taste of the delightful charms of this region. We make a great combination with the Anguilla with its beautiful nature, beaches and marine parks and the upmarket, sophisticated island of Saint Barth.",,https://www.tripadvisor.com/AttractionProductReview-g147346-d19621363-GaySail_Gay_Sailing_Cruise_Saint_Martin_Saint_Barth_Anguilla-St_Martin_St_Maarten.html,,,,,,
D43,Private Speed Boat Charter to Anguilla,"Venture out from St. Maarten to the island of Anguilla on your own private speedboat. Charter a boat for the day and customize your own itinerary with the captain based on your interests and the weather conditions. Snorkel in the vibrant coral reef systems to discover native marine species, swim in the pristine turquoise waters, and soak up the warm Caribbean sun with a drink on hand.",,https://www.tripadvisor.com/AttractionProductReview-g147346-d11466089-Private_Speed_Boat_Charter_to_Anguilla-St_Martin_St_Maarten.html,,,,,,
